"","X","respondent_id","collector_id","start_date","end_date","prolific_id","allocated_wild_300","allocated_uk_300","allocated_develop_300","treatment","letter","sympath_1","sympath_2","donation","donation_explain","allocation_100","behavioural_1","behavioural_2","behavioural_3","behavioural_4","behavioural_5","sufficiency_1","sufficiency_2","sufficiency_3","social_norm_1","social_norm_2","social_norm_donation","efficacy","ego_1","ego_2","finance_secure_1","finance_secure_2","finance_secure_3","finance_secure_4","experience_1","experience_2","experience_3","climate_change_1","climate_change_2","climate_change_3","flood_1","flood_2","flood_3","connect_1","connect_2","connect_3","connect_4","connect_5","connect_6","gender","age","ethnicity","other_ethn","education","postcode","MD_index","nudge","message_framing"
"12",13,11529081067,257594245,"04/22/2020 10:33:29 PM","04/22/2020 10:45:54 PM","5664fa2c4ef50400127da41d",0,0,1,"biodiversity","A",10,10,0,"its not addressing the real issue. the real issue is external forces creating demand for logging because of impoverishing policies.",0,10,10,0,20,0,10,"i used the knowledge of the western (developed) world's foreign policy. which is to exploit under-developed countries, which in turn leads to all kinds of chaos. deforestation of rainforests is just one example. Until the west changes its relationship with the under-developed world things like deforestation are inevitable and will continue. Poverty is the issue that needs to be addressed, and it will not be addressed until the wests relationship with the under-developed world is changed to become just.","none",14,7,10,0,8,11,11,15,20,14,20,20,2,0,0,0,0,0,0,6,7,7,5,7,7,"Male",49.5,"Black/African/Caribbean/Black British","0","Higher degree","SA1 6JW",5,"absent","biodiversity"
"13",14,11529068065,257594245,"04/22/2020 10:29:12 PM","04/22/2020 10:38:18 PM","5951e4640dd7710001aebd33",0.5,0.333333333333333,0.166666666666667,"es-local_nudge","D",18,18,2,"every bit helps",0.1,14,4,2,6,1,9,"yes my existing knowledge  I believe a forest needs some support in aid for the people and wildlife","none",14,12,1,11,14,15,4,11,5,11,4,14,14,2,3,3,0,0,0,6,5,6,6,6,6,"Male",49.5,"White or Caucasian","0","Undergraduate degree","M16 0NG",3,"present","es-local"
"14",15,11528596334,257594245,"04/22/2020 08:04:01 PM","04/22/2020 08:15:23 PM","5e6fa2d7df60c3562e2d2c18",0.166666666666667,0.416666666666667,0.416666666666667,"es-global","E",4,10,0,"I feel there are more worthy causes",0.1,10,10,0,10,0,20,"None","None",15,15,5,10,0,10,18,15,13,13,20,20,15,10,10,4,0,0,0,2,2,4,6,4,4,"Male",49.5,"Asian or Asian British","0","Undergraduate degree","NN18 8GP ",8,"absent","es-global"
"15",16,11528520882,257594245,"04/22/2020 07:40:46 PM","04/22/2020 07:58:49 PM","5c5db2ba13005e0001ab7227",0.166666666666667,0.5,0.333333333333333,"es-global","E",14,16,25,"It is a very important issue that affects everyone.",0.75,10,7,14,10,10,12,"None","None",8,8,10,4,9,9,6,11,7,12,10,12,15,5,3,2,0,0,0,3,6,4,6,6,6,"Female",59.5,"Black/African/Caribbean/Black British","0","A-level or equivalent including vocational equivalents","NN8 2PE",1,"absent","es-global"
"17",18,11528376104,257594245,"04/22/2020 07:02:46 PM","04/22/2020 07:41:55 PM","5e4721a7eab94f1f27d57fe0",0.25,0.5,0.25,"biodiversity_nudge","B",20,20,10,"I do feel quite strongly towards supporting the environment and wildlife, the fundamental reason being is that, we are the animals not the wildlife, perhaps we are human but we are inhuman, we expand and expand and do not bat an eyelid towards wildlife or mother earth. I believe we are the most selfish breed on this planet, we are driven by money and success but at what cost! We stop at nothing. If I had more money I would have donated more but due to unfortunate circumstances I don't ",1,20,17,17,17,20,17,"In all honesty, I don't particularly have any existing knowledge as such but, is that important? At some point the common sense approach should prevail and it is quite apparent what is going on in the world, just by watching documentaries or picking up a relative magazine although, I don't particularly go out to investigate such issues there are instances when something might catch your eye and you skim read over the article.","I think the images that you have you used are over generous in the sense that, the l'hoest monkey and elephant look thriving with life. Are you really portraying the reality of the rainforest? I appreciate that there may perhaps be scenes or images that some people might find upsetting or even be offended but, surely there has to be some middle ground somewhere to paint a true picture of the wildlife to hit the real message home. ",20,20,50,15,0,3,6,12,4,12,13,16,20,1,3,0,0,0,0,5,6,6,7,5,7,"Male",49.5,"Asian or Asian British","0","Higher degree","BB1 6NW",1,"present","biodiversity"
"18",19,11528287339,257594245,"04/22/2020 06:39:25 PM","04/22/2020 06:55:58 PM","5c635a08e30ff200016badb9",0.5,0,0.5,"es-global","E",10,18,0,"I dont donate to charity as a general rule",0,18,2,0,10,10,10,"none","How people living in the area have been affected by the deforestation and how their livelihoods will affected by this campaign",10,11,5,6,20,20,10,15,10,20,14,14,12,2,12,5,0,0,0,5,3,2,6,6,1,"Male",49.5,"Asian or Asian British","0","Undergraduate degree","HG3 1PY",10,"absent","es-global"
"19",21,11528182307,257594245,"04/22/2020 06:11:37 PM","04/22/2020 06:31:44 PM","5ceaa0145b78dd0015cb438e",0.166666666666667,0.416666666666667,0.416666666666667,"es-local_nudge","D",20,18,10,"To help conservation of natural resources, to restore the rainforest and reintroduction of wildlife and support the disadvantaged local inhabitants of the area.",0.5,20,5,10,15,10,15,"The destruction of vast areas of the rainforest as a result of over exploitation by governments, commercial businesses, etc and the devastating impact on both the environment, wildlife and livelihoods of the  local people of the rainforest.","None",15,15,5,10,5,10,10,12,0,5,20,20,15,0,5,2,0,0,0,6,7,7,7,7,7,"Male",59.5,"Black/African/Caribbean/Black British","0","Higher degree","UB3 2PF",3,"present","es-local"
"20",22,11528132006,257594245,"04/22/2020 05:58:11 PM","04/22/2020 06:08:00 PM","5d24832b38abb10001aff2e7",0.2,0.4,0.4,"biodiversity_nudge","B",14,16,10,"I feel we all have a responsibility to the planet.",0.2,15,8,10,15,3,15,"None","None",13,10,5,12,4,5,15,15,10,13,12,17,13,3,2,2,0,0,0,2,6,6,7,5,5,"Male",59.5,"Asian or Asian British","0","Undergraduate degree","GU52 8LG",10,"present","biodiversity"
"21",23,11528075422,257594245,"04/22/2020 05:43:34 PM","04/22/2020 05:55:29 PM","5e42d31f3c8ba101131b0226",0.2,0.5,0.3,"es-local","C",12,12,10,"I was born and lived in East Africa, and remember in my childhood days how beautiful the country side was including the wildlife. So would like it restored back to its original state.",0.3,12,12,15,15,10,5,"I was born in Nairobi and grew up in Kenya, so know what the forest areas were like. It would be good to get them back to the stats they were in before commercialisation. ","none",12,10,10,12,10,18,4,10,0,8,20,12,20,0,0,0,0,0,0,3,6,4,5,6,4,"Male",59.5,"Asian or Asian British","0","Undergraduate degree","UB10 9NG",4,"absent","es-local"
"22",24,11528069564,257594245,"04/22/2020 05:42:30 PM","04/22/2020 06:03:30 PM","5c03520b55614800012b3c9a",0.166666666666667,0.5,0.333333333333333,"es-local","C",20,20,50,"I like the conservation effort being invested in this project, as it would help the natural and human environment. It's ecological restoration and flood control would ultimately be for the good of mankind.",0.2,20,10,10,7,15,20,"I also used my awareness of the environmental issues of our time.","The promoters of this project, and their level of transparency or credibility.",20,14,5,20,10,10,10,20,10,20,10,10,10,0,0,20,0,0,0,4,5,1,4,4,4,"Prefer not to say",49.5,"Other (please specify)","Prefer not to say","Higher degree","LS11 0LD",1,"absent","es-local"
"23",25,11528023049,257594245,"04/22/2020 05:27:28 PM","04/22/2020 05:47:57 PM","5c516390e459660001e39652",0.133333333333333,0.3,0.566666666666667,"es-local","C",15,16,100,"Landslides and homelessness for natural habitat is a problem in Africa",1,16,10,13,7,9,15,"Yes","No",12,12,100,10,7,10,10,14,9,14,14,14,12,6,6,6,0,0,0,6,5,6,4,4,4,"Male",59.5,"Black/African/Caribbean/Black British","0","Higher degree","EN7 6WJ",8,"absent","es-local"
"24",26,11527990404,257594245,"04/22/2020 05:20:06 PM","04/22/2020 05:35:57 PM","5d7bcad21cb70e0019f84c81",0.166666666666667,0.666666666666667,0.166666666666667,"es-local_nudge","D",20,20,25,"I think this is very important but at the same time there are much more immediate concerns at this time. ",0.25,19,3,5,10,4,4,"very little general information not particular to this rain forest. ","more information is required I think for anyone to be seriously involved including the action plan and who is going to deliver that.",20,20,20,10,3,10,4,7,10,8,20,20,14,1,3,3,0,0,0,4,2,4,3,4,4,"Male",59.5,"Asian or Asian British","0","Undergraduate degree","KT2 5AY",9,"present","es-local"
"25",27,11527945317,257594245,"04/22/2020 05:08:08 PM","04/22/2020 05:28:10 PM","5e8ff19da0c64c2f34550e7e",0.333333333333333,0.166666666666667,0.5,"es-global","E",14,14,30,"Distruction of rain forests affects all of us. Caring for elephant and monkeys. ",0.5,19,15,15,20,17,10,"Yes. I have seen extinction of rain forests and animals in Malaysia and Indonesia. I also heard activists for rain forests restoration in Latin America","Yes. How much from donations to the campaign goes for administrative/governence spendings? Types of actions and measures, what they exactly do. ",10,10,20,12,8,10,8,11,0,12,18,10,15,0,0,0,0,0,1,5,5,7,7,7,5,"Female",59.5,"White or Caucasian","0","Higher degree","E15 3QJ",4,"absent","es-global"
"26",28,11527940575,257594245,"04/22/2020 05:07:48 PM","04/22/2020 05:24:41 PM","5e5180ccc81cd31b4dad88e0",0.166666666666667,0.416666666666667,0.416666666666667,"biodiversity","A",17,17,20,"Need to save animals from extinction ",0.4,16,14,14,15,13,16,"None","How many species of each animal left now Compared to few years back ",16,15,20,13,2,5,9,6,7,13,18,19,14,7,10,4,0,0,0,3,5,2,6,6,6,"Female",59.5,"Asian or Asian British","0","A-level or equivalent including vocational equivalents","HP13 5SP ",9,"absent","biodiversity"
"27",29,11527928353,257594245,"04/22/2020 05:04:12 PM","04/22/2020 05:26:31 PM","5e125387f9e7508d9a7155b6",0.166666666666667,0.666666666666667,0.166666666666667,"es-local","C",15,18,50,"Global Extinction.",0.2,15,15,18,15,10,20,"none.","none",20,15,30,16,0,6,5,5,6,13,17,20,20,7,4,0,4,0,0,4,6,2,2,6,2,"Female",59.5,"Black/African/Caribbean/Black British","0","Undergraduate degree","SE28 8RG",4,"absent","es-local"
"28",30,11527914621,257594245,"04/22/2020 05:01:36 PM","04/22/2020 05:22:26 PM","571de12713b1b70012be47f6",0.0333333333333333,0.966666666666667,0,"es-local","C",0,15,0,"It is not the responsibility of myself or my country to support these areas and people, their country can sort it out, reversed they would and do offer no support and treat us like dirt and are disrespectful to us.",0,0,0,0,20,0,0,"I used the knowledge that people are naive and unintelligent. For DECADES MILLIONS/BILLIONS of pounds sent to these regions and nothing has improved and corruption and bureacracy still takes all the money.","Why it is not the government or the people to overthrow their corrupt government that should be addressed rather than stealing money from people like me whom also get treated like dirt. ",16,16,5,0,20,20,1,2,0,1,0,20,11,14,5,7,0,0,0,1,1,3,3,3,1,"Male",59.5,"Asian or Asian British","0","None of the above","AL7 1FW",7,"absent","es-local"
"29",31,11527898278,257594245,"04/22/2020 04:55:40 PM","04/22/2020 05:40:29 PM","5cab9948a3e704000114ac8f",0.74,0.22,0.04,"biodiversity","A",5,10,6,"to late for a realistic regeneration --trees take too long to mature",0.1,10,3,2,12,0,10,"none","none",15,11,25,3,18,19,0,0,0,15,2,10,6,0,0,0,0,0,0,4,2,3,4,4,2,"Male",59.5,"Mixed/Multiple ethnic groups","0","O-level/GCSE or equivalent including vocational equivalents","NW3 3PN",4,"absent","biodiversity"
"30",32,11527888612,257594245,"04/22/2020 04:55:18 PM","04/22/2020 05:08:05 PM","5cd89ac3575359001dc46b76",0.333333333333333,0.333333333333333,0.333333333333333,"es-local_nudge","D",12,13,12,"To help the forest and the animals in it.  ",0.5,14,12,10,14,4,13,"None","None",13,13,10,14,6,12,13,13,10,10,15,17,12,4,9,3,0,0,0,3,4,2,6,4,5,"Male",49.5,"Asian or Asian British","0","A-level or equivalent including vocational equivalents","B11 4LG",1,"present","es-local"
"31",33,11527877776,257594245,"04/22/2020 04:52:53 PM","04/22/2020 05:05:13 PM","5b7c674d204c5400019845c9",0.166666666666667,0.833333333333333,0,"es-local","C",12,20,10,"Insufficient funds",0.5,20,3,10,20,12,14,"None","Would have liked to know if this charity campaigns in other countries and if so how successfully?",20,7,5,10,10,20,15,20,0,20,0,12,1,2,12,8,0,0,0,1,4,5,6,6,5,"Female",69.5,"Other (please specify)","Middle Eastern ","Higher degree","BH22 8RS ",10,"absent","es-local"
"32",34,11527840889,257594245,"04/22/2020 04:43:05 PM","04/22/2020 04:49:27 PM","5c643f1140c2610001424b7f",0.333333333333333,0.666666666666667,0,"biodiversity","A",15,15,10,"save the environment",0.6,14,10,14,16,10,17,"none","none",17,16,5,16,5,4,16,10,14,5,10,15,15,4,6,3,0,0,0,1,6,4,6,6,6,"Male",49.5,"Asian or Asian British","0","O-level/GCSE or equivalent including vocational equivalents","G41 2DG",8,"absent","biodiversity"
"33",35,11527791600,257594245,"04/22/2020 04:31:06 PM","04/22/2020 04:46:57 PM","5ded58a8217786000b2b2511",0.5,0.333333333333333,0.166666666666667,"es-global","E",12,14,5,"I'm all for conservation and although the concept looks appealing I would onky donate a small sum as there are more worthy projects nearer to home and/or in the UK that I'd give more to. ",0.05,3,3,10,6,8,8,"none","More information about who will be helping and when this scheme will be started and concluded would have helped. Also more details of the species it will be protecting from extinction.  ",5,3,5,4,5,7,18,18,8,18,10,16,13,6,13,4,0,0,0,5,6,5,7,5,5,"Male",59.5,"White or Caucasian","0","A-level or equivalent including vocational equivalents","DY9 9BZ",2,"absent","es-global"
"34",36,11527733165,257594245,"04/22/2020 04:16:15 PM","04/22/2020 04:24:10 PM","599c578d8acf1e0001599633",1,0,0,"es-local_nudge","D",20,20,25,"it seems a worthwhile cause",1,20,15,20,20,4,5,"none","how much, in percentage terms, of donations benefit the project to restore rainforest?",15,10,10,15,5,14,10,14,0,15,15,20,20,0,4,0,2,1,0,7,5,4,7,5,5,"Male",59.5,"White or Caucasian","0","Undergraduate degree","RH6 9RU",5,"present","es-local"
"35",37,11527717011,257594245,"04/22/2020 04:13:14 PM","04/22/2020 04:20:58 PM","57deea8589fea700017296dc",0,1,0,"es-local","C",0,10,0,"I'm suspicious as I'm not aware that there is any rainforest in East Africa.",0,1,0,0,20,0,0,"My knowledge that there is no rainforest in East Africa.","I'd like to know the precise location of this alleged rainforest.",10,10,3,0,20,20,5,15,8,12,0,0,10,20,20,20,0,0,0,1,1,1,4,3,2,"Male",59.5,"White or Caucasian","0","Undergraduate degree","RM15 5DS",2,"absent","es-local"
"36",38,11527700360,257594245,"04/22/2020 04:09:38 PM","04/22/2020 04:16:33 PM","5a6adef80384310001944ba8",1,0,0,"es-local_nudge","D",0,10,0,"not local to me",0,0,0,0,0,0,0,"none","none",10,6,2,0,20,20,20,20,19,20,0,0,0,16,20,20,0,0,0,1,1,1,1,1,1,"Male",69.5,"White or Caucasian","0","None of the above","DN16 2EX",2,"present","es-local"
"37",39,11527690936,257594245,"04/22/2020 04:07:23 PM","04/22/2020 04:13:40 PM","5c7823628ca9000001b5110a",0.333333333333333,0.5,0.166666666666667,"es-global_nudge","F",11,20,0,"I don't have any money",0.5,15,0,0,0,0,12,"none","none",11,11,5,0,20,20,0,0,0,0,20,11,20,0,0,0,1,1,0,7,7,7,7,7,7,"Male",39.5,"Other (please specify)","Indian Caribbean","Undergraduate degree","N13 4UD",4,"present","es-global"
"38",40,11527689765,257594245,"04/22/2020 04:06:45 PM","04/22/2020 04:24:50 PM","5d1794f9db7eb7001af1b00c",0.416666666666667,0.166666666666667,0.416666666666667,"es-global_nudge","F",13,20,0,"Those E-African countries spend lavishly on presidential palaces, armies and opulent foreign embassies.  They must help themselves and then ask for the help of others!",0,20,12,8,19,2,18,"As per previous comment... and as per dictum ""Help yourself and God will help you"" !","How much is the local government already doing, and what expertise does it require from abroad that is not already available in situ.",10,8,1,1,3,9,1,5,0,5,20,20,11,10,11,3,0,0,0,3,4,7,7,7,7,"Male",69.5,"White or Caucasian","0","Undergraduate degree","GL11 4BD",6,"present","es-global"
"39",41,11527678145,257594245,"04/22/2020 04:04:08 PM","04/22/2020 04:14:52 PM","5e4fe86dabab1a000bdd6ec6",0.333333333333333,0.333333333333333,0.333333333333333,"biodiversity","A",20,20,20,"I love animals and care for the environmental.",0.5,15,8,10,14,12,19,"existing knowledge as its well known what is happening to forests in our world","no contact info",15,13,10,20,8,4,5,16,8,12,4,15,14,8,12,8,0,0,0,5,5,5,5,5,6,"Male",39.5,"Black/African/Caribbean/Black British","0","Undergraduate degree","B297RS",4,"absent","biodiversity"
"40",42,11527666472,257594245,"04/22/2020 04:01:29 PM","04/22/2020 04:06:55 PM","59b4f7c39f80a10001e82697",0.166666666666667,0.5,0.333333333333333,"es-local_nudge","D",13,13,0,"Too many calls on money",0,14,8,8,8,9,9,"None","None",12,11,10,12,5,8,12,15,1,17,8,14,13,1,3,1,1,0,0,5,6,2,5,6,6,"Female",59.5,"White or Caucasian","0","Higher degree","DE4 3RJ",6,"present","es-local"
"41",43,11527663996,257594245,"04/22/2020 03:59:10 PM","04/22/2020 04:16:15 PM","58eb63fecd3c5b0001fb6c8b",1,0,0,"es-global","E",20,20,5,"The environment is important but I don't have much money to give charities.",1,14,6,12,16,13,14,"none","none",14,12,5,12,8,8,0,7,0,20,0,20,20,0,0,0,0,0,0,6,5,7,5,5,5,"Male",59.5,"White or Caucasian","0","Undergraduate degree","SN4 9DX",8,"absent","es-global"
"42",44,11527659286,257594245,"04/22/2020 03:59:41 PM","04/22/2020 04:08:14 PM","568e997ce3ef9e000ca204d4",0,1,0,"biodiversity","A",3,4,0,"more important things at the moment",0,2,1,1,19,0,18,"none","none",9,9,0,2,18,19,5,13,7,10,1,1,2,15,15,15,2,0,0,1,1,1,4,2,4,"Male",69.5,"White or Caucasian","0","O-level/GCSE or equivalent including vocational equivalents","CW8 1TA",4,"absent","biodiversity"
"43",45,11527651537,257594245,"04/22/2020 03:57:31 PM","04/22/2020 04:04:44 PM","59d2205f23b3e500018f5264",0.333333333333333,0.333333333333333,0.333333333333333,"biodiversity","A",10,10,0,"I feel no connection with the cause",0,13,0,0,20,0,14,"none","none",10,10,5,0,20,20,20,20,10,20,12,12,10,4,5,15,0,0,0,1,6,4,6,4,4,"Male",69.5,"White or Caucasian","0","Undergraduate degree","BT19 1LU",4,"absent","biodiversity"
"44",46,11527649909,257594245,"04/22/2020 03:57:10 PM","04/22/2020 04:14:19 PM","5d24cf6110577200016ac8f9",0.333333333333333,0.333333333333333,0.333333333333333,"es-local","C",10,12,0,"Prefer to retain funds for a cause I feel stronger about",0,11,5,0,15,5,8,"none","none",10,10,1,5,15,15,15,14,6,14,15,16,16,10,10,9,0,0,0,4,6,4,4,2,3,"Male",69.5,"White or Caucasian","0","Higher degree","KT20 6AF",9,"absent","es-local"
"45",47,11527648950,257594245,"04/22/2020 03:56:21 PM","04/22/2020 04:20:35 PM","5e945955824db7000b2196ad",0,0.333333333333333,0.666666666666667,"es-global","E",10,10,30,"I will give because it is about life , restore forest and an carbon which is  essential for life.",0.15,12,8,8,2,14,14,"None","None",14,15,15,12,8,8,9,9,6,10,13,13,9,14,7,5,4,4,2,5,4,3,4,4,4,"Male",39.5,"Black/African/Caribbean/Black British","0","Higher degree","M6 5HE",1,"absent","es-global"
"46",48,11527645606,257594245,"04/22/2020 03:56:06 PM","04/22/2020 04:03:24 PM","58bd73414cdfd90001778323",0.666666666666667,0.333333333333333,0,"es-local","C",12,14,0,"better causes nearer home",0,14,13,5,20,7,20,"none","none",20,16,20,8,0,20,14,20,3,20,0,12,17,1,1,0,0,0,0,6,5,2,7,7,5,"Male",59.5,"White or Caucasian","0","Undergraduate degree","YO42 2FF",9,"absent","es-local"
"48",50,11527626553,257594245,"04/22/2020 03:50:59 PM","04/22/2020 03:56:26 PM","59857b9e0e411a0001d83173",0.166666666666667,0.5,0.333333333333333,"es-local","C",17,18,10,"Anything that improves the environment globally is good to support",0.5,17,10,15,18,10,17,"No","No",14,16,5,16,8,17,17,19,10,19,17,19,17,1,0,0,0,0,0,6,6,5,7,5,5,"Male",59.5,"White or Caucasian","0","Undergraduate degree","GL7 4EA ",8,"absent","es-local"
"49",51,11527623308,257594245,"04/22/2020 03:49:53 PM","04/22/2020 03:59:39 PM","5be995221ca46b000186318f",0.166666666666667,0.833333333333333,0,"es-global_nudge","F",20,20,0,"I don't have spare money.",0.1,10,0,0,10,0,10,"none","none",20,10,1,0,10,20,10,20,0,20,0,10,10,10,10,10,0,0,0,4,5,1,5,5,1,"Male",59.5,"White or Caucasian","0","A-level or equivalent including vocational equivalents","TS101AB",1,"present","es-global"
"50",52,11527621675,257594245,"04/22/2020 03:49:46 PM","04/22/2020 03:58:25 PM","5c6d6d3481e1d50001627409",0.333333333333333,0.333333333333333,0.333333333333333,"es-global_nudge","F",15,19,30,"its a fair amount to help get it started",1,19,14,15,10,13,15,"none","none",17,18,50,14,3,0,3,4,6,8,0,20,9,12,8,7,0,0,0,4,6,4,5,4,4,"Female",49.5,"Mixed/Multiple ethnic groups","0","A-level or equivalent including vocational equivalents","SR2 7JG",3,"present","es-global"
"51",53,11527617091,257594245,"04/22/2020 03:48:41 PM","04/22/2020 03:53:58 PM","5c93e5293a673a0001869096",0.666666666666667,0.333333333333333,0,"es-local_nudge","D",20,20,10,"it was all we could afford",0.25,20,12,16,10,16,13,"none","none",18,16,5,11,10,18,3,8,3,10,3,10,5,2,2,0,0,0,0,2,4,1,6,4,4,"Male",69.5,"White or Caucasian","0","Undergraduate degree","NG4 3HA",8,"present","es-local"
"52",54,11527614034,257594245,"04/22/2020 03:47:43 PM","04/22/2020 03:55:01 PM","599614af004c4f0001cc8642",0.25,0.5,0.25,"biodiversity","A",10,13,10,"On a pension",0.1,19,10,10,10,1,10,"none","none",12,12,10,10,10,15,10,20,10,16,1,14,14,3,3,4,0,0,0,1,4,4,4,4,4,"Male",69.5,"White or Caucasian","0","Undergraduate degree","DG2 9QW",1,"absent","biodiversity"
